Case_1_day_peaks,Case_2_season_peaks,Case3_season_peak_day_peak,baseline
0.013236225,0.00348457,0.0045,0.010249455
0.00882415,0.004022949,0.003,0.011833036
0.014706917,0.004415645,0.005,0.012988105
0.014706917,0.004360414,0.005,0.012825648
0.00882415,0.004642043,0.003,0.013654027
0.013236225,0.00407438,0.0045,0.011984314
0.013236225,0.00348457,0.0045,0.010249455
0.00882415,0.004022949,0.003,0.011833036
0.014706917,0.004415645,0.005,0.012988105
0.014706917,0.004360414,0.005,0.012825648
0.00882415,0.004642043,0.003,0.013654027
0.013236225,0.00407438,0.0045,0.011984314
0.008883962,0.001378883,0.0018,0.006805524
0.005922642,0.001609568,0.0012,0.007944078
0.009871069,0.00177339,0.002,0.00875263
0.009871069,0.001732378,0.002,0.008550213
0.005922642,0.001878921,0.0012,0.009273479
0.008883962,0.00162686,0.0018,0.008029422
0.008883962,0.001378883,0.0018,0.006805524
0.005922642,0.001609568,0.0012,0.007944078
0.009871069,0.00177339,0.002,0.00875263
0.009871069,0.001732378,0.002,0.008550213
0.005922642,0.001878921,0.0012,0.009273479
0.008883962,0.00162686,0.0018,0.008029422
0.026266775,0.031480271,0.0391,0.017854425
0.018541253,0.036956247,0.0276,0.020960192
0.032447193,0.041001328,0.0483,0.02325441
0.032447193,0.03941087,0.0483,0.022352362
0.018541253,0.043412261,0.0276,0.024621799
0.026266775,0.037739022,0.0391,0.021404152
0.026266775,0.031480271,0.0391,0.017854425
0.018541253,0.036956247,0.0276,0.020960192
0.032447193,0.041001328,0.0483,0.02325441
0.032447193,0.03941087,0.0483,0.022352362
0.018541253,0.043412261,0.0276,0.024621799
0.026266775,0.037739022,0.0391,0.021404152
0.037626635,0.031045087,0.03825,0.030539142
0.026559978,0.036357127,0.027,0.035764611
0.046479961,0.039826082,0.04725,0.039177032
0.046479961,0.03912271,0.04725,0.038485123
0.026559978,0.042230966,0.027,0.041542723
0.037626635,0.036418026,0.03825,0.035824517
0.037626635,0.031045087,0.03825,0.030539142
0.026559978,0.036357127,0.027,0.035764611
0.046479961,0.039826082,0.04725,0.039177032
0.046479961,0.03912271,0.04725,0.038485123
0.026559978,0.042230966,0.027,0.041542723
0.037626635,0.036418026,0.03825,0.035824517
0.000430603,0.002737416,0.0034,0.006933757
0.000303955,0.003213587,0.0024,0.00813988
0.000531921,0.003565333,0.0042,0.009030839
0.000531921,0.003427029,0.0042,0.008680529
0.000303955,0.003774978,0.0024,0.009561864
0.000430603,0.003281657,0.0034,0.008312292
